"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row7493","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","December",1,"december"
"Row7494","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","51 JH Sánchez andMA Sáenz",5,"51 jh sánchez andma sáenz"
"Row7495","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Assisting mobilization 32 Anatole Lécuyer Pascal Mobuchon Christine Mégard Jérôme Perret subway networks users visual disabilities",16,"assisting mobilization 32 anatole lécuyer pascal mobuchon christine mégard jérôme perret subway networks users visual disabilities"
"Row7496","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Proc",1,"proc"
"Row7497","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","6th Intl Conf",3,"6th intl conf"
"Row7498","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Claude Andriot J-P Colinot",4,"claude andriot j-p colinot"
"Row7499","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","HOMERE multimodal system Disability Virtual Reality  Assoc",7,"homere multimodal system disability virtual reality  assoc"
"Row7500","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Tech Esbjerg Denmark",3,"tech esbjerg denmark"
"Row7501","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","183–190",1,"183–190"
"Row7502","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","visually impaired people explore virtual environments",6,"visually impaired people explore virtual environments"
"Row7503","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Virtual 52 David Schloerb Orly Lahav Joseph Desloge Mandayam Reality",10,"virtual 52 david schloerb orly lahav joseph desloge mandayam reality"
"Row7504","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Proceedings",1,"proceedings"
"Row7505","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","IEEE",1,"ieee"
"Row7506","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","IEEE 251–258",2,"ieee 251–258"
"Row7507","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Srinivasan",1,"srinivasan"
"Row7508","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","BlindAid Virtual environment system self-reliant

33 lucassa3",7,"blindaid virtual environment system self-reliant

33 lucassa3"
"Row7509","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","EscapeVR-HarryPotter httpsgithubcomlucassa3",3,"escapevr-harrypotter httpsgithubcomlucassa3"
"Row7510","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","trip planning orientation mobility training",5,"trip planning orientation mobility training"
"Row7511","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Haptics
EscapeVR-HarryPotter accessed December",4,"haptics
escapevr-harrypotter accessed december"
"Row7512","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Symposium IEEE",2,"symposium ieee"
"Row7513","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","IEEE 363–370",2,"ieee 363–370"
"Row7514","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","34 Gang Luo Eli Peli",5,"34 gang luo eli peli"
"Row7515","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","augmented-vision device 53 Liz Segre",5,"augmented-vision device 53 liz segre"
"Row7516","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Low Vision Aids Reading https
visual search patients tunnel vision",10,"low vision aids reading https
visual search patients tunnel vision"
"Row7517","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Investigative wwwallaboutvisioncomlowvisionreadinghtm",3,"investigative wwwallaboutvisioncomlowvisionreadinghtm"
"Row7518","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","accessed ophthalmology  visual science  4152–4159",5,"accessed ophthalmology  visual science  4152–4159"
"Row7519","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","December",1,"december"
"Row7520","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","35 MAGic",2,"35 magic"
"Row7521","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","screen magnifier - MAGic",4,"screen magnifier - magic"
"Row7522","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","https 54 Yoshikazu Seki Tetsuji Sato",6,"https 54 yoshikazu seki tetsuji sato"
"Row7523","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","training system orientation
wwwfreedomscientificcomProductsLowVisionMAGic",4,"training system orientation
wwwfreedomscientificcomproductslowvisionmagic"
"Row7524","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","mobility blind people using acoustic virtual reality",7,"mobility blind people using acoustic virtual reality"
"Row7525","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","IEEE
accessed December",3,"ieee
accessed december"
"Row7526","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Transactions neural systems rehabilitation engineering  36 Shachar Maidenbaum Shelly Levy-Tzedek Daniel-Robert Chebat 95–104",13,"transactions neural systems rehabilitation engineering  36 shachar maidenbaum shelly levy-tzedek daniel-robert chebat 95–104"
"Row7527","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Amir Amedi",2,"amir amedi"
"Row7528","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Increasing accessibility blind virtual 55 SK Semwal",7,"increasing accessibility blind virtual 55 sk semwal"
"Row7529","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","MoVE Mobiltiy training haptic virtual
environments using virtual mobility aid based the EyeCaneenvironment",14,"move mobiltiy training haptic virtual
environments using virtual mobility aid based the eyecaneenvironment"
"Row7530","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","piglet",1,"piglet"
"Row7531","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","uccs",1,"uccs"
"Row7532","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","edu˜ semwalNSF2001PS",3,"edu˜ semwalnsf2001ps"
"Row7533","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","pdf",1,"pdf"
"Row7534","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Feasibility study",2,"feasibility study"
"Row7535","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","PloS  e72555",2,"plos  e72555"
"Row7536","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","56 Kristen Shinohara Jacob Wobbrock",5,"56 kristen shinohara jacob wobbrock"
"Row7537","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","shadow 37 Stephen Mansfield Gordon Legge Mark Bane",8,"shadow 37 stephen mansfield gordon legge mark bane"
"Row7538","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","misperception assistive technology social interactions",5,"misperception assistive technology social interactions"
"Row7539","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Psychophysics reading",2,"psychophysics reading"
"Row7540","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","XV Font effects normal low vision",6,"xv font effects normal low vision"
"Row7541","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Proceedings SIGCHI Conference Human Factors Computing
Investigative Ophthalmology  Visual Science  1492–1501",11,"proceedings sigchi conference human factors computing
investigative ophthalmology  visual science  1492–1501"
"Row7542","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Systems",1,"systems"
"Row7543","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","ACM 705–714",2,"acm 705–714"
"Row7544","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","38 Tom Margrain",3,"38 tom margrain"
"Row7545","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Helping blind partially sighted people 57 steamspy",7,"helping blind partially sighted people 57 steamspy"
"Row7546","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","SteamSpy - data stats Steam games",6,"steamspy - data stats steam games"
"Row7547","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","read effectiveness low vision aids",5,"read effectiveness low vision aids"
"Row7548","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","British Journal httpssteamspycomtagVROnly",5,"british journal httpssteamspycomtagvronly"
"Row7549","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","accessed December",2,"accessed december"
"Row7550","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Ophthalmology  919–921",2,"ophthalmology  919–921"
"Row7551","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","58 Sarit Szpiro Yuhang Zhao Shiri Azenkot",7,"58 sarit szpiro yuhang zhao shiri azenkot"
"Row7552","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Finding store

39 RobertWMassof Douglas Rickman",6,"finding store

39 robertwmassof douglas rickman"
"Row7553","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Obstacles encountered searching product study daily challenges low vision
development low vision enhancement system",14,"obstacles encountered searching product study daily challenges low vision
development low vision enhancement system"
"Row7554","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Optometry people",2,"optometry people"
"Row7555","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Proceedings ACM International Joint Conference
vision science official publication American Academy Pervasive Ubiquitous Computing",14,"proceedings acm international joint conference
vision science official publication american academy pervasive ubiquitous computing"
"Row7556","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","ACM 61–72",2,"acm 61–72"
"Row7557","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Optometry  32–41",2,"optometry  32–41"
"Row7558","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","59 Sarit Felicia Anais Szpiro Shafeka Hashash Yuhang Zhao Shiri

40 DavidMaulsby SaulGreenberg andRichardMander",15,"59 sarit felicia anais szpiro shafeka hashash yuhang zhao shiri

40 davidmaulsby saulgreenberg andrichardmander"
"Row7559","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Prototyping Azenkot",2,"prototyping azenkot"
"Row7560","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","people low vision access computing devices
intelligent agent Wizard Oz",10,"people low vision access computing devices
intelligent agent wizard oz"
"Row7561","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Proceedings Understanding challenges opportunities",4,"proceedings understanding challenges opportunities"
"Row7562","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Proceedings INTERACT’93 CHI’93 conference Human factors computing 18th International ACM SIGACCESS Conference Computers systems",14,"proceedings interact’93 chi’93 conference human factors computing 18th international acm sigaccess conference computers systems"
"Row7563","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","ACM 277–284",2,"acm 277–284"
"Row7564","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","Accessibility",1,"accessibility"
"Row7565","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","ACM 171–180",2,"acm 171–180"
"Row7566","""SeeingVR Set Tools Virtual Reality Accessible People Low Vision""","41 Zahira Merchant Ernest Goetz Lauren Cifuentes Wendy 60 Hironobu Takagi Chieko Asakawa",13,"41 zahira merchant ernest goetz lauren cifuentes wendy 60 hironobu takagi chieko asakawa"
